"combination","mtry","ntree","nodesize","thr_value","Sens_train","F1_train","B.Accuracy_train","TSS_train","AUC_train","Sens_test","F1_test","B.Accuracy_test","TSS_test","AUC_test"
61,6,5000,10,0.413892703840175,0.891891891891892,0.19991251163023,0.830653611055177,0.661307222110354,0.830653611055177,0.8875,0.199767900853719,0.830409929257201,0.660819858514401,0.830409929257201
62,7,5000,10,0.381624857029171,0.91042471042471,0.193880282802389,0.831307821811673,0.662615643623346,0.831307821811673,0.903125,0.191731355601195,0.828065784487115,0.656131568974229,0.828065784487115
63,8,5000,10,0.412870386377077,0.886486486486487,0.203244608829879,0.830564874762375,0.661129749524749,0.830564874762375,0.88125,0.202087455877785,0.828649254674078,0.657298509348156,0.828649254674078
64,9,5000,10,0.407896137026481,0.888803088803089,0.202444990423433,0.830738203070568,0.661476406141137,0.830738203070568,0.878125,0.201882250142013,0.826783571248105,0.65356714249621,0.826783571248105
65,10,5000,10,0.403612698681857,0.89034749034749,0.201941877494897,0.830588570277925,0.66117714055585,0.830588570277925,0.8875,0.203971467233433,0.831066826680142,0.662133653360283,0.831066826680142
66,11,5000,10,0.391994531613419,0.894980694980695,0.197887474616255,0.830202811185258,0.660405622370517,0.830202811185258,0.89375,0.199836901978493,0.832574848408287,0.665149696816574,0.832574848408287
67,12,5000,10,0.391113994770637,0.895752895752896,0.198277384713719,0.830891980140623,0.661783960281245,0.830891980140623,0.878125,0.197508185813913,0.824762348408287,0.649524696816574,0.824762348408287
68,13,5000,10,0.41188456441859,0.884942084942085,0.204595058257151,0.831623713262809,0.663247426525618,0.831623713262809,0.875,0.205033715878425,0.829364578069732,0.658729156139464,0.829364578069732
69,14,5000,10,0.388019070769651,0.898841698841699,0.197583498997098,0.831464036691969,0.662928073383939,0.83146403669197,0.884375,0.198769366892485,0.828038940121273,0.656077880242547,0.828038940121273
70,15,5000,10,0.389230723101676,0.898069498069498,0.197678149291588,0.83131786558987,0.662635731179739,0.83131786558987,0.884375,0.199028398722223,0.828443184689237,0.656886369378474,0.828443184689237
71,2,6000,10,0.551416003056282,0.87027027027027,0.191851989469312,0.816875253836991,0.633750507673983,0.816875253836991,0.853125,0.188149377239427,0.809634758716523,0.619269517433047,0.809634758716523
