"cont_pred","bin_pred","threshold","Sens_train","F1_train","B.Accuracy_train","TSS_train","AUC_train","Boyce_train","COR_train","MAE_train","MSE_train","RMSE_train","Rsq_train"
0.319,0,0.423037434844416,0.908602150537634,0.320379146919431,0.88348671006902,0.766973420138039,0.88348671006902,0.99288022398463,0.431050636911051,0.837006785522988,0.768085881540169,0.876405089864367,-20.975100997363
0.976,1,0.377100297914598,0.932795698924731,0.305726872246696,0.887913890348915,0.775827780697831,0.887913890348915,0.976417641764177,0.432749776465484,0.836866740341592,0.766543547661533,0.875524727041751,-20.9227437700199
0.432,1,0.353626833894406,0.932432432432432,0.296137339055794,0.884543312403128,0.769086624806257,0.884543312403128,0.987221607195171,0.433955895627852,0.839493811558439,0.770328340314245,0.877683508056432,-21.1539070188233
0.434,1,0.31851214353858,0.962162162162162,0.27866927592955,0.888585885369541,0.777171770739082,0.888585885369541,0.978253825382538,0.432895016114279,0.837061499489578,0.766720027326037,0.8756255063245,-21.0501353850249
0.38,1,0.333161512027491,0.954054054054054,0.286525974025974,0.888982119572794,0.777964239145589,0.888982119572794,0.950803932809358,0.433039431729868,0.837083860697868,0.766558320834802,0.875533163754979,-21.0454848608476
0.507,1,0.353216898044484,0.943699731903485,0.295425933697021,0.887951475100614,0.775902950201228,0.887951475100614,0.986306630663066,0.4332169194617,0.835696223469641,0.764783259934499,0.874518873400968,-20.8180166259222
0.427,1,0.403452306757331,0.927613941018767,0.31889400921659,0.890390658022033,0.780781316044065,0.890390658022033,0.989855955167837,0.434499528301751,0.837757290335388,0.768033670636038,0.876375302388217,-20.9128016691547
0.874,1,0.361563421412751,0.944,0.304385210662081,0.891188341261006,0.782376682522012,0.891188341261006,0.973564277124926,0.436339319869118,0.835936601665158,0.76450620383763,0.874360454182158,-20.7022554602399
0.791,1,0.313283449630976,0.973333333333333,0.276724791508719,0.890643192013221,0.781286384026443,0.890643192013221,0.992232153344904,0.433518916384372,0.83361006163958,0.761504532539017,0.872642270657924,-20.6211016707496
0.419,1,0.364854684056935,0.932795698924731,0.300823580407456,0.88603347699273,0.77206695398546,0.88603347699273,0.990167987307149,0.43342750627607,0.83655324949985,0.766003100615263,0.875216030826254,-20.9052310384639
0.738,1,0.337225181148201,0.954666666666667,0.288709677419355,0.888993932038835,0.77798786407767,0.888993932038835,0.992901247550114,0.433990704430277,0.835402926127709,0.764031111444056,0.874088732019843,-20.7030102639021
0.339,0,0.351424994476766,0.946236559139785,0.29406850459482,0.888638311945449,0.777276623890898,0.888638311945449,0.990366007703251,0.433429902686761,0.83614160820395,0.76543065444734,0.874888938350086,-20.8970796886013
0.901,1,0.376245669031513,0.935483870967742,0.303267973856209,0.888043524391876,0.776087048783753,0.888043524391876,0.988406840684068,0.432735623437772,0.834341913080752,0.762089550102013,0.872977405264313,-20.7953617738535
0.322,1,0.314731512079217,0.956989247311828,0.275755228505035,0.884706683550693,0.769413367101387,0.884706683550693,0.978718808041633,0.432617841755437,0.836488543029905,0.76623401772261,0.875347940948404,-20.9200619268423
0.302,0,0.386292465363447,0.93010752688172,0.308928571428571,0.888060643246607,0.776121286493214,0.888060643246607,0.985349491002008,0.434760378628427,0.834799195723488,0.762657837598295,0.873302832697968,-20.8177562500211
0.33,0,0.385740828654214,0.929919137466307,0.312641594925238,0.889542269795369,0.779084539590738,0.889542269795369,0.992118140917545,0.435896610941184,0.840425941485683,0.771744200999532,0.878489727315882,-21.1349637916982
0.316,0,0.384011736572327,0.929919137466307,0.312217194570136,0.889398168773615,0.77879633754723,0.889398168773615,0.991815181518152,0.434645041075003,0.838301595964483,0.768495800539469,0.876638922555615,-21.0438625254722
0.924,1,0.364068674804602,0.946380697050938,0.29441201000834,0.888574963910085,0.777149927820169,0.888574963910085,0.989633932299481,0.429916831713133,0.829651342924415,0.755290097947349,0.869074276427136,-20.5451702071583
0.972,1,0.353058898698171,0.940700808625337,0.285831285831286,0.883222292594393,0.766444585188786,0.883222292594393,0.993948304166811,0.427424995376647,0.83117999581059,0.758480649989384,0.87090794576085,-20.7484174923968
0.995,1,0.322012045925089,0.956989247311828,0.278125,0.885810216087362,0.771620432174724,0.885810216087362,0.985493418822569,0.430224221809719,0.833883150064649,0.762681396824377,0.873316321171417,-20.8163829069115
0.968,1,0.336949367683701,0.948924731182796,0.287693561532192,0.886980074557194,0.773960149114389,0.886980074557194,0.982148107717098,0.431531750640779,0.83643549644121,0.766119820239384,0.875282708751512,-20.9126819309457
0.993,1,0.383274882701789,0.932614555256065,0.306873614190687,0.888481146669627,0.776962293339255,0.888481146669627,0.990891089108911,0.43332405581294,0.834960386193612,0.762618763350907,0.873280460877779,-20.8650196760117
0.829,1,0.357690486836222,0.946091644204852,0.293846797823357,0.888692011759343,0.777384023518686,0.888692011759343,0.98860782661059,0.430543115158113,0.833385365203729,0.761183552988019,0.872458338826571,-20.8238708027714
0.979,1,0.346251429388222,0.946236559139785,0.28995057660626,0.88689218909322,0.77378437818644,0.88689218909322,0.98990996073041,0.431338991517824,0.835458173734559,0.764518440645247,0.874367451730248,-20.8648267705744
0.804,1,0.364134866764205,0.940540540540541,0.295918367346939,0.887611427696414,0.775222855392827,0.887611427696414,0.984410441044104,0.429932084766247,0.832511814398865,0.759343156782868,0.871402981853326,-20.8318354254889
0.837,1,0.309486723038125,0.970189701897019,0.267964071856287,0.886733366170518,0.773466732341036,0.886733366170518,0.977137713771377,0.425076516361529,0.830729514600667,0.757679507743881,0.87044787767211,-20.8449304068923
0.902,1,0.334167969513387,0.956403269754768,0.279125248508946,0.887287944702336,0.774575889404672,0.887287944702336,0.981125055885172,0.42744440913194,0.831860473345786,0.758116197427019,0.870698683487588,-20.9598134666542
0.894,1,0.401954138519436,0.931880108991826,0.307692307692308,0.889359376701274,0.778718753402549,0.889359376701274,0.989318931893189,0.426547443516159,0.830604587684556,0.756122671059367,0.869553144470979,-20.906183282732
0.892,1,0.37863294246675,0.935135135135135,0.302579798863139,0.888103733475509,0.776207466951018,0.888103733475509,0.98792375615133,0.428115137273519,0.831733711518248,0.758489163912299,0.87091283370513,-20.8093294194223
0.886,1,0.306587310009787,0.975675675675676,0.267011834319527,0.888040164595552,0.776080329191103,0.888040164595552,0.980047885093463,0.428985675106787,0.832271592738419,0.758702799632158,0.871035475530221,-20.8154722254264
0.901,1,0.347574106740416,0.956756756756757,0.287104622871046,0.890265075394059,0.780530150788117,0.890265075394059,0.976753675367537,0.42920796597936,0.832103657649949,0.758577166376698,0.870963355358133,-20.8118598111894
0.871,1,0.366018437521028,0.943243243243243,0.296390658174098,0.888869977716715,0.777739955433431,0.888869977716715,0.987530753075308,0.427805110445331,0.832673955120264,0.759983188408634,0.871770146545885,-20.8522880719008
0.892,1,0.386471028201857,0.935135135135135,0.302977232924694,0.88824745425312,0.77649490850624,0.88824745425312,0.991407140714071,0.430041569665987,0.83094089356424,0.756517455219908,0.869780118892073,-20.7505938274932
0.841,1,0.317215889464594,0.964577656675749,0.272727272727273,0.887428967971589,0.774857935943178,0.887428967971589,0.978211690456798,0.428434446245421,0.836273607693857,0.765466000062251,0.874909138175074,-21.1727099796613
0.984,1,0.382983931155689,0.946236559139785,0.309314586994728,0.89458371829067,0.789167436581339,0.89458371829067,0.983066306630663,0.433837992456765,0.835459977641904,0.763474639169527,0.873770358371996,-20.8349745953538
0.888,1,0.39566255683218,0.926229508196721,0.302408563782337,0.885386423967886,0.770772847935773,0.885386423967886,0.983078307830783,0.422863451640815,0.828721155961751,0.754067307948047,0.86837049002603,-20.9061676914534
0.907,1,0.35277134505668,0.953551912568306,0.287835051546392,0.890307509682211,0.780615019364423,0.890307509682211,0.977830716568207,0.425763230169775,0.831830440229719,0.757803627743124,0.870519171381724,-21.0167779850431
0.911,1,0.385139694376741,0.934426229508197,0.303460514640639,0.889029641506399,0.778059283012799,0.889029641506399,0.983333183356815,0.427393251350163,0.832320101294583,0.758585487712288,0.870968132432116,-21.0374238837486
0.755,1,0.328683764483592,0.962666666666667,0.286280729579699,0.890912110166059,0.781824220332118,0.890912110166059,0.983864289632412,0.433362411309926,0.835851451351434,0.765155336247726,0.874731579541819,-20.7104951975361
0.958,1,0.385624452268569,0.938502673796791,0.309660344067049,0.891207000427093,0.782414000854186,0.891207000427093,0.981467091114802,0.432736709636195,0.833824116858137,0.761531097145966,0.872657491313726,-20.6673086350597
0.997,1,0.296382404786069,0.978436657681941,0.264,0.887204362643217,0.774408725286434,0.887204362643217,0.98185407654979,0.432468865982952,0.8345458511074,0.762050011953421,0.87295475939674,-20.8487130217639
0.997,1,0.383413053322767,0.935309973045822,0.307351638618246,0.889743421208735,0.77948684241747,0.889743421208735,0.977953663105894,0.431080306710142,0.834520498201574,0.762538090008478,0.873234269831686,-20.866811616535
0.869,1,0.36432085578806,0.937837837837838,0.296961916987591,0.886943410367153,0.773886820734306,0.886943410367153,0.983843335868022,0.430739226979485,0.83451973912937,0.762324033950271,0.873111696147905,-20.911366127709
0.855,1,0.366389746775019,0.948648648648649,0.296452702702703,0.890990990990991,0.781981981981982,0.890990990990991,0.986066606660666,0.429858895083332,0.831549373444988,0.758243551915888,0.870771813919059,-20.7961278742583
0.996,1,0.373364418419721,0.935135135135135,0.304443466783986,0.888795939519404,0.777591879038808,0.888795939519404,0.982376026185672,0.431216991230405,0.836098284612166,0.765631699632058,0.875003828352801,-21.0105706175239
0.206,0,0.322889804752256,0.959349593495935,0.283881315156375,0.890121803220459,0.780243606440919,0.890121803220459,0.98937893789379,0.434054348956605,0.837272601989304,0.768375105515146,0.876570080207593,-21.155378450353
0.999,1,0.349974039460021,0.943396226415094,0.289136720363486,0.885691839808782,0.771383679617563,0.885691839808782,0.986645624503764,0.429078710445434,0.833931709417525,0.762449018976605,0.873183267691614,-20.8642573841629
0.997,1,0.319958720330237,0.962059620596206,0.275835275835276,0.887434748070035,0.774869496140069,0.887434748070035,0.988199784582259,0.429691644463272,0.834439673273997,0.762513418921769,0.873220143447097,-20.9760444286767
0.994,1,0.334885393547902,0.959349593495935,0.28433734939759,0.890269817998727,0.780539635997453,0.890269817998727,0.98618357691286,0.429468771803343,0.834556213157889,0.762985356551839,0.873490329970423,-20.9875810952772
0.997,1,0.360751157626158,0.934959349593496,0.294368600682594,0.885006491230668,0.770012982461336,0.885006491230668,0.986084524977399,0.428519299982522,0.835275020949195,0.764825244390298,0.874542877388123,-21.0406026673256
0.99,1,0.330611836843508,0.953678474114441,0.275916436736303,0.884761932595013,0.769523865190026,0.884761932595013,0.984434443444344,0.426808498800447,0.833430899719804,0.760836155289516,0.872259224823399,-21.0386005543069
