"combination","mtry","nodesize","ntree","thr_value","Sens_train","F1_train","B.Accuracy_train","TSS_train","AUC_train","Sens_test","F1_test","B.Accuracy_test","TSS_test","AUC_test"
1,2,10,1000,0.475833333333333,0.761485458612975,0.225863928727246,0.769027036843415,0.53805407368683,0.769027036843415,0.784,0.234453962333828,0.783111111111111,0.566222222222222,0.783111111111111
2,3,10,1000,0.600912698412698,0.775370321247765,0.237235081958826,0.793631379535636,0.587262759071272,0.793631379535636,0.829333333333333,0.267121155486134,0.823454545454546,0.646909090909091,0.823454545454546
3,4,10,1000,0.524206349206349,0.79964054964055,0.204509294636877,0.776212144533695,0.55242428906739,0.776212144533695,0.842666666666666,0.210502749969165,0.797646464646465,0.595292929292929,0.797646464646465
4,5,10,1000,0.583650793650794,0.749383078730905,0.254558987869528,0.790106259729043,0.580212519458086,0.790106259729043,0.712,0.255301088762505,0.774535353535353,0.549070707070707,0.774535353535353
5,6,10,1000,0.724365079365079,0.742922308474998,0.280472450498685,0.793933064349859,0.587866128699717,0.793933064349859,0.701333333333333,0.276550737041186,0.777686868686869,0.555373737373737,0.777686868686869
6,7,10,1000,0.684206349206349,0.775364544718207,0.258745895911008,0.804990693013061,0.609981386026122,0.804990693013062,0.808,0.274534871325609,0.822989898989899,0.645979797979798,0.822989898989899
7,8,10,1000,0.63563492063492,0.802442846336923,0.262744930908985,0.817204253619162,0.634408507238324,0.817204253619162,0.84,0.289795821956309,0.841767676767677,0.683535353535353,0.841767676767677
8,9,10,1000,0.645277777777778,0.757370857016938,0.279822584600057,0.804894240527153,0.609788481054307,0.804894240527153,0.744,0.273514700972235,0.798717171717171,0.597434343434344,0.798717171717172
9,10,10,1000,0.734761904761905,0.790997598511805,0.305975045448403,0.81914480354829,0.63828960709658,0.81914480354829,0.728,0.272218658403965,0.791676767676768,0.583353535353535,0.791676767676768
10,11,10,1000,0.718373015873016,0.791467273968917,0.29575367476986,0.814847385248567,0.629694770497133,0.814847385248567,0.749333333333333,0.284248683723025,0.794969696969697,0.589939393939394,0.794969696969697
11,12,10,1000,0.630555555555555,0.821085709970446,0.244022709347982,0.813168786054532,0.626337572109065,0.813168786054532,0.829333333333333,0.250991208335697,0.820979797979798,0.641959595959596,0.820979797979798
12,13,10,1000,0.889166666666667,0.718476550953936,0.436331685997106,0.819306448687421,0.638612897374843,0.819306448687421,0.490666666666667,0.299885285543966,0.707353535353535,0.414707070707071,0.707353535353535
