"cont_pred";"bin_pred";"threshold";"Sens_train";"F1_train";"B.Accuracy_train";"TSS_train";"AUC_train";"NA";"NA";"NA";"NA";"NA";"NA"
0,992;1;0,426090097098168;0,863777089783282;0,17816091954023;0,803826184089859;0,607652368179718;0,803826184089859;0,975544481085942;0,280581422523975;0,756440813808899;0,66743650592349;0,816967873250527;-20,7682696226587
0,816;1;0,369792474923465;0,893416927899687;0,166910688140556;0,804494561288708;0,608989122577416;0,804494561288708;0,975274453273076;0,276005092107315;0,754773747318742;0,666433042303183;0,816353503271213;-21,0012664967205
0,926;1;0,426970125180205;0,863777089783282;0,179883945841393;0,805421527489779;0,610843054979558;0,805421527489779;0,989573926118844;0,280555973878457;0,757394248642373;0,66962038352017;0,818303356659479;-20,8519217046545
0,879;1;0,324199199199199;0,909937888198758;0,163004172461752;0,804250756763753;0,608501513527505;0,804250756763753;0,969672785332701;0,280150474995758;0,757794177767591;0,669603692615873;0,81829315811381;-20,9190983287197
0,869;1;0,356292336378012;0,894409937888199;0,166473988439306;0,803061736089558;0,606123472179115;0,803061736089558;0,977698569183642;0,277689405311308;0,755487788449648;0,667667914435306;0,817109487422161;-20,8557317243381
0,632;1;0,382132118801567;0,890965732087227;0,170339487790351;0,806402987378295;0,61280597475659;0,806402987378295;0,97227706138601;0,277881182403239;0,756440540312053;0,668521172009478;0,817631440203639;-20,955857037357
0,899;1;0,489964568989814;0,834890965732087;0,194062273714699;0,807587039994456;0,615174079988912;0,807587039994456;0,984029259229114;0,279307442891254;0,758631905921167;0,670798095575828;0,819022646558584;-21,0306367308071
0,916;1;0,321617429218257;0,909657320872274;0,163037409268565;0,804712369607944;0,609424739215888;0,804712369607944;0,984950495049505;0,28058344489699;0,760737148765546;0,672821936418287;0,82025723795544;-21,0950107634562
0,983;1;0,340281549390628;0,906832298136646;0,165673758865248;0,806202636374887;0,612405272749774;0,806202636374887;0,975637563756376;0,2787756873861;0,758331807193755;0,671303369113768;0,8193310497679;-20,9768188595535
0,991;1;0,401435584584576;0,884735202492212;0,1749307052664;0,80875781061194;0,61751562122388;0,80875781061194;0,975580484794324;0,278533522368917;0,755698373019657;0,667540019354271;0,817031222998406;-20,9174014864348
0,938;1;0,357775734299778;0,8875;0,16642250219748;0,801666034395549;0,603332068791098;0,801666034395549;0,970644888375641;0,278222208933971;0,758764612769611;0,670578927924947;0,818888837342986;-21,077468220926
0,991;1;0,36606323754822;0,899053627760252;0,166666666666667;0,806987613070819;0,613975226141638;0,806987613070819;0,972517251725173;0,27651674122485;0,757492917301199;0,668863712394324;0,817840884521142;-21,2163310092646
0,989;1;0,403326762803887;0,877742946708464;0,172254690864349;0,804728832990044;0,609457665980088;0,804728832990044;0,990263997196168;0,276685589980945;0,753500768393567;0,663312059321466;0,814439721109835;-20,9023863866562
0,988;1;0,336538733090457;0,906832298136646;0,164414414414414;0,804822177795816;0,609644355591633;0,804822177795816;0,977341734173417;0,279308165433352;0,758951384059916;0,671084393649169;0,819197408229035;-20,9675682399555
0,999;1;0,363221316221171;0,896875;0,166521612996809;0,804785502023267;0,609571004046535;0,804785502023268;0,983000198038688;0,27847464520211;0,754539468525579;0,664590700553322;0,815224325295389;-20,8803178274506
0,944;1;0,354850680848577;0,903426791277259;0,166379804934022;0,806291038531902;0,612582077063804;0,806291038531902;0,987806780678068;0,278347199194874;0,756673191467074;0,668845048910082;0,817829474224353;-20,9560867739167
